,0
0,0
1,67
2,66
3,67
4,69
5,71
6,72
7,74
8,69
9,66
10,62
11,64
12,66
13,67
14,69
15,71
16,66
17,67
18,69
19,71
20,72
21,71
22,69
23,67
24,71
25,69
26,67
27,69
28,67
29,66
30,67
31,69
32,71
33,72
34,74
35,69
36,66
37,62
38,64
39,66
40,67
41,69
42,71
43,66
44,67
45,69
46,71
47,72
48,71
49,69
50,67
51,71
52,69
53,67
54,69
55,67
56,66
57,67
58,69
59,71
60,72
61,74
62,69
63,66
64,62
65,64
66,66
67,67
68,69
69,71
70,66
71,67
72,69
73,71
74,72
75,71
76,69
77,67
78,71
79,69
80,67
